DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2014-01-01;07:46:00;VIA CHIESA;2;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0
2014-01-01;12:15:00;VIA CONVERSI;17;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0
2014-01-01;13:19:00;VIA BINAGHI;sn;VIA BROTZU;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-01-02;07:57:00;PIAZZA DE GASPERI;parcheggio;;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0
2014-01-02;10:12:00;PARCHEGGIO BANCA CIS;sn;;Incidente stradale senza feriti;Urto con veicolo in sosta;1;0;0;0;0;0;0
2014-01-02;18:17:00;VIALE GUGLIELMO MARCONI;111;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0
2014-01-03;09:47:00;VIA QUIRRA;mercato civico;;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;1;0;1;0;0;0
2014-01-03;11:55:00;VIALE POETTO;sn;VIA VERGINE DI LLUC;Incidente stradale con feriti;Investimento di pedone;1;0;2;1;0;0;0
2014-01-03;20:07:00;PIAZZA DEFFENU;sn;VIALE COLOMBO;Incidente stradale senza feriti;Cambio di corsia;2;1;1;0;0;0;0
2014-01-04;17:45:00;VIALE GUGLIELMO MARCONI;sn;;Incidente stradale con feriti;Tamponamento;3;2;1;1;0;0;0
2014-01-04;20:34:00;VIA MAMELI;59/A;;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;0;1;1;0;0;0
2014-01-05;11:59:00;VIA SCORNIGIANI;sn;VIA CORNALIAS;Incidente stradale con feriti;Caduta dal veicolo x Buca;1;1;0;1;0;0;0
2014-01-05;11:55:00;ROTATORIA CADELLO;sn;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0
2014-01-05;17:48:00;CIRCON. 131 DIR.;sn;;Incidente stradale con feriti;Tamponamento;3;2;2;1;1;0;0
2014-01-06;05:28:00;ASSE MEDIANO DI SCORRIMENTO;sn;VIA VALENZANI;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0
2014-01-06;12:17:00;VIA BACAREDDA;sn;VIA S.VETRANO;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0
